tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn,customerID
65.0,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,No,5716-EZXZN
3.0,Yes,One year,No,Mailed check,19.6,61.35,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,6837-BJYDQ
1.0,Yes,Month-to-month,Yes,Electronic check,45.65,45.65,Male,0,No,No,No,DSL,No,No,No,No,No,No,Yes,2135-RXIHG
30.0,Yes,One year,No,Credit card (automatic),64.5,1929.95,Male,0,No,Yes,No,DSL,No,Yes,Yes,No,Yes,No,No,6440-DKQGE
15.0,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,Male,0,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,No,3466-BYAVD
8.0,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,Female,0,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,No,3780-YVMFA
7.0,Yes,Month-to-month,No,Mailed check,95.0,655.5,Male,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,3874-EQOEP
70.0,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,1679-JRFBR
62.0,Yes,Two year,No,Electronic check,86.1,5215.25,Male,0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,9073-ZZIAY
6.0,Yes,Month-to-month,No,Mailed check,19.7,113.5,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,3077-RSNTJ
14.0,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,Female,0,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,No,6551-GNYDG
22.0,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,Female,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,No,9167-APMXZ
22.0,Yes,One year,No,Mailed check,20.15,419.9,Male,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,2749-CTKAJ
16.0,Yes,Two year,No,Mailed check,64.25,1024.0,Male,0,Yes,Yes,No,DSL,Yes,No,Yes,No,Yes,No,No,6371-NZYEG
10.0,Yes,Two year,No,Bank transfer (automatic),25.7,251.6,Male,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,7554-NEWDD
13.0,Yes,Month-to-month,Yes,Electronic check,56.0,764.55,Female,0,No,Yes,No,DSL,Yes,Yes,No,No,No,No,No,8992-VONJD
20.0,Yes,Month-to-month,No,Electronic check,82.4,1592.35,Female,0,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,0867-MKZVY
2.0,Yes,Month-to-month,Yes,Electronic check,69.7,135.2,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No,No,4482-EWFMI
53.0,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,Male,0,No,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,No,4648-YPBTM
